tripduration,starttime,,,start station name,,,,end station name,,,bikeid,usertype,birth year,gender
1318,2013-06-01 1:01,,,Bus Slip & State St,,,,Lispenard St & Broadway,,,17561,Customer,NULL,0
206,2013-06-01 1:01,,,W 46 St & 11 Ave,,,,W 46 St & 11 Ave,,,16371,Subscriber,1969,1
105,2013-06-01 1:01,,,2 Ave & E 31 St,,,,2 Ave & E 31 St,,,16822,Subscriber,1983,1
1287,2013-06-01 1:02,,,Bus Slip & State St,,,,Lispenard St & Broadway,,,17503,Customer,NULL,0
275,2013-06-01 1:01,,,E 31 St & 3 Ave,,,,E 31 St & 3 Ave,,,18844,Subscriber,1987,1
879,2013-06-01 1:03,,,2 Ave & E 31 St,,,,W 17 St & 8 Ave,,,20306,Subscriber,1980,2
1273,2013-06-01 1:03,,,W 53 St & 10 Ave,,,,Broadway & W 49 St,,,16339,Subscriber,1981,1
432,2013-06-01 1:03,,,Willoughby St & Fleet St,,,,Adelphi St & Myrtle Ave,,,19473,Subscriber,1987,2
530,2013-06-01 1:04,,,Concord St & Bridge St,,,,Concord St & Bridge St,,,18922,Subscriber,1985,1
414,2013-06-01 1:03,,,Willoughby St & Fleet St,,,,Adelphi St & Myrtle Ave,,,17326,Subscriber,1988,1
1228,2013-06-01 1:04,,,9 Ave & W 45 St,,,,Broadway & W 53 St,,,16481,Subscriber,1976,1
1218,2013-06-01 1:04,,,W 18 St & 6 Ave,,,,W 38 St & 8 Ave,,,19411,Subscriber,1981,2
381,2013-06-01 1:05,,,Cleveland Pl & Spring St,,,,Watts St & Greenwich St,,,17602,Subscriber,1985,1
243,2013-06-01 1:06,,,E 31 St & 3 Ave,,,,E 31 St & 3 Ave,,,18844,Subscriber,1987,1
1095,2013-06-01 1:07,,,E 5 St & Avenue C,,,,E 2 St & Avenue B,,,16666,Subscriber,1981,1
913,2013-06-01 1:08,,,Broadway & W 24 St,,,,W 14 St & The High Line,,,17898,Customer,NULL,0
698,2013-06-01 1:09,,,E 39 St & 2 Ave,,,,Broadway & E 22 St,,,19079,Subscriber,1963,1
1513,2013-06-01 1:11,,,Mercer St & Bleecker St S,,,,6 Ave & Broome St,,,15889,Customer,NULL,0
1447,2013-06-01 1:11,,,W 4 St & 7 Ave S,,,,Greenwich St & North Moore St,,,17840,Customer,NULL,0
759,2013-06-01 1:11,,,Lafayette St & E 8 St,,,,Norfolk St & Broome St,,,15248,Subscriber,1987,1
613,2013-06-01 1:12,,,Broadway & E 14 St,,,,E 30 St & Park Ave S,,,17577,Customer,NULL,0
420,2013-06-01 1:12,,,DeKalb Ave & Hudson Ave,,,,Clermont Ave & Park Ave,,,17478,Subscriber,1986,1
815,2013-06-01 1:12,,,Broadway & W 24 St,,,,E 51 St & 1 Ave,,,16289,Subscriber,1983,1
1566,2013-06-01 1:13,,,8 Ave & W 52 St,,,,E 7 St & Avenue A,,,16451,Customer,NULL,0
1357,2013-06-01 1:13,,,Mercer St & Bleecker St S,,,,6 Ave & W 33 St,,,18297,Customer,NULL,0
293,2013-06-01 1:13,,,E 47 St & 1 Ave,,,,E 2 St & 2 Ave,,,19845,Subscriber,1986,1
613,2013-06-01 1:15,,,E 10 St & Avenue A,,,,Broadway & E 22 St,,,15392,Subscriber,1968,1
608,2013-06-01 1:15,,,E 10 St & Avenue A,,,,E 11 St & Broadway,,,14800,Subscriber,1970,2
995,2013-06-01 1:15,,,W 27 St & 7 Ave,,,,W 47 St & 10 Ave,,,15259,Subscriber,1985,2
2142,2013-06-01 1:16,,,Mercer St & Spring St,,,,W 27 St & 7 Ave,,,20160,Subscriber,1978,1
855,2013-06-01 1:17,,,11 Ave & W 41 St,,,,E 51 St & Lexington Ave,,,18655,Subscriber,1972,1
1903,2013-06-01 1:17,,,West St & Chambers St,,,,State St & Smith St,,,16269,Customer,NULL,0
1982,2013-06-01 1:17,,,West St & Chambers St,,,,State St & Smith St,,,16988,Customer,NULL,0
536,2013-06-01 1:16,,,Bayard St & Baxter St,,,,Cleveland Pl & Spring St,,,18716,Subscriber,1982,1
1251,2013-06-01 1:18,,,E 11 St & 1 Ave,,,,Broadway & W 53 St,,,18662,Subscriber,1990,1
492,2013-06-01 1:21,,,St James Pl & Pearl St,,,,Carlton Ave & Flushing Ave,,,17637,Subscriber,1984,1
286,2013-06-01 1:17,,,W Broadway & Spring St,,,,E 11 St & 1 Ave,,,19044,Subscriber,1975,1
1594,2013-06-01 1:22,,,E 60 St & York Ave,,,,W 53 St & 10 Ave,,,16860,Subscriber,1986,1
1527,2013-06-01 1:25,,,S 4 St & Wythe Ave,,,,Ashland Pl & Hanson Pl,,,18984,Subscriber,1968,1
734,2013-06-01 1:25,,,Clinton St & Grand St,,,,W 17 St & 8 Ave,,,20137,Subscriber,1978,1
1460,2013-06-01 1:26,,,W 15 St & 7 Ave,,,,Broadway & W 56 St,,,17390,Subscriber,1952,1
1274,2013-06-01 1:27,,,John St & William St,,,,Cleveland Pl & Spring St,,,20341,Customer,NULL,0
583,2013-06-01 1:27,,,St Marks Pl & 2 Ave,,,,W 52 St & 11 Ave,,,18693,Subscriber,1990,1
762,2013-06-01 1:27,,,Lispenard St & Broadway,,,,Cleveland Pl & Spring St,,,20068,Customer,NULL,0
195,2013-06-01 1:27,,,E 2 St & Avenue C,,,,Suffolk St & Stanton St,,,20156,Subscriber,1983,1
263,2013-06-01 1:27,,,St James Pl & Oliver St,,,,Howard St & Centre St,,,17717,Subscriber,1978,1
2436,2013-06-01 1:28,,,Lawrence St & Willoughby St,,,,Clermont Ave & Lafayette Ave,,,14776,Subscriber,1982,1
221,2013-06-01 1:27,,,DeKalb Ave & S Portland Ave,,,,DeKalb Ave & S Portland Ave,,,17424,Subscriber,1987,2
643,2013-06-01 1:25,,,Sullivan St & Washington Sq,,,,Great Jones St,,,19402,Subscriber,1990,1
1106,2013-06-01 1:29,,,John St & William St,,,,Cleveland Pl & Spring St,,,19944,Customer,NULL,0
1872,2013-06-01 1:29,,,W 14 St & The High Line,,,,Vesey Pl & River Terrace,,,17036,Customer,NULL,0
1869,2013-06-01 1:30,,,W 49 St & 8 Ave,,,,Vesey Pl & River Terrace,,,16607,Customer,NULL,0
629,2013-06-01 1:30,,,Lispenard St & Broadway,,,,Cleveland Pl & Spring St,,,17700,Customer,NULL,0
476,2013-06-01 1:30,,,W 4 St & 7 Ave S,,,,Mott St & Prince St,,,17209,Subscriber,1991,1
668,2013-06-01 1:28,,,Little West St & 1 Pl,,,,E 11 St & Broadway,,,16570,Subscriber,1970,1
643,2013-06-01 1:31,,,Broadway & W 53 St,,,,E 47 St & Park Ave,,,16481,Subscriber,1976,1
630,2013-06-01 1:31,,,W 38 St & 8 Ave,,,,E 47 St & Park Ave,,,19411,Subscriber,1981,2
153,2013-06-01 1:32,,,Greenwich Ave & 8 Ave,,,,NULL,,,20106,Subscriber,1987,1
766,2013-06-01 1:33,,,E 4 St & 2 Ave,,,,MacDougal St & Prince St,,,15601,Subscriber,1983,1
551,2013-06-01 1:34,,,MacDougal St & Washington Sq,,,,Stanton St & Chrystie St,,,17517,Subscriber,1965,1
539,2013-06-01 1:35,,,E 31 St & 3 Ave,,,,E 53 St & Lexington Ave,,,14658,Subscriber,1987,1
6842,2013-06-01 1:35,,,Rivington St & Ridge St,,,,W 45 St & 8 Ave,,,19626,Subscriber,1984,2
1853,2013-06-01 1:35,,,LaGuardia Pl & W 3 St,,,,W 52 St & 11 Ave,,,18740,Customer,NULL,0
1345,2013-06-01 1:36,,,DeKalb Ave & Hudson Ave,,,,E 31 St & 3 Ave,,,19364,Customer,NULL,0
278,2013-06-01 1:37,,,Allen St & Stanton St,,,,E 2 St & Avenue C,,,17969,Subscriber,1983,1
831,2013-06-01 1:37,,,E 3 St & 1 Ave,,,,E 10 St & Avenue A,,,16799,Subscriber,1972,1
1219,2013-06-01 1:18,,,Metropolitan Ave & Bedford Ave,,,,E 58 St & 3 Ave,,,17384,Subscriber,1985,1
1592,2013-06-01 1:39,,,Greenwich St & North Moore St,,,,Broadway & Battery Pl,,,20038,Customer,NULL,0
736,2013-06-01 1:39,,,E 31 St & 3 Ave,,,,E 58 St & 3 Ave,,,16372,Subscriber,1967,1
1872,2013-06-01 1:39,,,Franklin St & W Broadway,,,,Rivington St & Ridge St,,,15438,Subscriber,1990,1
468,2013-06-01 1:41,,,W 4 St & 7 Ave S,,,,E 11 St & 2 Ave,,,16991,Subscriber,1971,1
829,2013-06-01 1:41,,,Atlantic Ave & Furman St,,,,State St & Smith St,,,19828,Subscriber,1985,1
1591,2013-06-01 1:42,,,DeKalb Ave & Hudson Ave,,,,W 20 St & 7 Ave,,,19880,Customer,NULL,0
941,2013-06-01 1:43,,,Forsyth St & Canal St,,,,Rivington St & Chrystie St,,,18819,Subscriber,1984,1
266,2013-06-01 1:44,,,University Pl & E 14 St,,,,9 Ave & W 22 St,,,20336,Subscriber,1984,1
1265,2013-06-01 1:44,,,Greenwich St & North Moore St,,,,Broadway & Battery Pl,,,17840,Customer,NULL,0
1276,2013-06-01 1:44,,,LaGuardia Pl & W 3 St,,,,W 21 St & 6 Ave,,,17588,Customer,NULL,0
1008,2013-06-01 1:46,,,E 39 St & 3 Ave,,,,8 Ave & W 52 St,,,18183,Subscriber,1987,1
992,2013-06-01 1:46,,,E 39 St & 3 Ave,,,,6 Ave & Broome St,,,18850,Subscriber,1988,2
1020,2013-06-01 1:46,,,Suffolk St & Stanton St,,,,Broadway & E 14 St,,,17495,Subscriber,1952,1
1382,2013-06-01 1:47,,,Broadway & E 22 St,,,,W 20 St & 7 Ave,,,16142,Customer,NULL,0
